source_pdf,상품명,브랜드명,상세_카테고리명,의류종류,가격,소재,케어방법,사이즈,사이즈_상세,색상,이미지_무드,이미지_톤,이미지_배경,사진_구성,모델_특징,제품_특징,브랜드_평,이미지_요약
여성_의류/09_2850695.pdf,Sheer Tencel T-Shirts- 6Colors,MOVEWARM,여성_의류,,49000,Tencel 70% Poly 30%,,"S,M","HELP
구매 시 상세 사이즈를 확인 바랍니다.
S M
총길이 58.0 61.0
가슴 너비 42.0 44.0
소매 길이 66.5 67.5
밑단 너비 41.0 43.0
상의 BEST 더보기
무브웜 무브웜 부디무드라 소함소함
Sheer Tencel T-Shirts- 6Colors Warmer T-Shirts- 10Colors [BEST] Carrie tank top _6 Colors Arch Ta
5%46,550 5%37,050 65,000 5%36
조건부 무료배송 조건부 무료배송 조건부 무료배송 쿠폰
선물하기 구매하기

추천 상품 더보기
무브웜 무브웜 무브웜 노우드
Warmer T-Shirts- 10Colors Slim T-Shirts- 4Colors Summit T-Shirts- 3Colors [29CM 단독]Wo
5%37,050 49,000 52,000 15%35,700
눈여겨봐야 할 브랜드
야오 아닐로 아로마티카 오드타입
헤어브러쉬 스칼프케어라운드(브런트... [Gift] 블랙티 너리싱 2종 세트 플로럴 퍼퓸 핸드크림 30ML (4종 중 ... 언씬 벌룬 틴트 16",탄력,,,,,,,,
여성_의류/09_3531081.pdf,"구2매9 C적M립가금 처음최이2,라31면0(, N1e5w%b 할ie인 꼭 받으세요",SPECIAL-ORDER,여성_의류,,280000,,,,"]F
체형 : 155cm, 60kg
사이즈 : 잘 맞아요
이정도 길이의 코트를 사고 싶었는데
예쁩니다 검정색을 살까 하다가 검정색 롱코트가 있어서 회색으로 구매했는데 회색도 단정하니 예쁘네요. 가을겨울 잘 입을수 있
을것 같아요~
도움돼요
90개의 포토 리뷰 전체보기 선물하기 구매하기

포토리뷰
wet***** 2026.02.03
옵션 : [SIZE]F
체형 : 155cm, 60kg
사이즈 : 잘 맞아요
이정도 길이의 코트를 사고 싶었는데
예쁩니다 검정색을 살까 하다가 검정색 롱코트가 있어서 회색으로 구매했는데 회색도 단정하니 예쁘네요. 가을겨울 잘 입을수 있
을것 같아요~
선물하기 구매하기

포토리뷰
wet***** 2026.02.03
옵션 : [SIZE]F
체형 : 155cm, 60kg
사이즈 : 잘 맞아요
이정도 길이의 코트를 사고 싶었는데
예쁩니다 검정색을 살까 하다가 검정색 롱코트가 있어서 회색으로 구매했는데 회색도 단정하니 예쁘네요. 가을겨울 잘 입을수 있
을것 같아요~
선물하기 구매하기

포토리뷰
wet***** 2026.02.03
옵션 : [SIZE]F
체",GRAY,,,,,,,,
여성_의류/10_3531081.pdf,2026.01.27 ~ 02.28,SPECIAL-ORDER,여성_의류,,280000,,,,"]F
체형 : 155cm, 60kg
사이즈 : 잘 맞아요
완전맘에 들어요 ㅎ 핏은 좀 넉넉하구요 ㅎ 안에 껴 입어도 편해요 길이도 엉덩이 덥는 길이구요 끈이 있어 묶어...
hye**** 2025.11.23
옵션 : [SIZE]F
체형 : 162cm, 50kg
사이즈 : 커요
제 체격에는 쬐끔 큰 감이 있는데 더 추워지면 껴입을 생각하면 오히려 좋은 거 같아용 앉을때, 입고 벗을때 신...
sk9***** 2026.01.13
옵션 : [SIZE]F
체형 : 160cm, 47kg
사이즈 : 잘 맞아요
저한테는 넉넉한 핏이고 저보다 키 크고 조금 살집있으신 어머니가 입어도 적당히 남는 핏이예요 넘 두껍고 무...
meg***** 2026.01.20
옵션 : [SIZE]F
체형 : 161cm, 45kg
사이즈 : 커요
오버핏이라 풍덩하니 크긴한데 부드럽고 색상이나 디자인 모두 맘에 들어요~ 그냥 크지만 툭 걸쳐입으려고요 ...
jas*** 2026.01.29
옵션 : [SIZE]F
체형 : 165cm, 49kg
사이즈 : 잘 맞아요
여행가서 입으려고 하프코트 찾고 있었는데 요",GRAY,,,,,,,,
여성_의류/11_3410043.pdf,[29CM 단독] [커치프 SET] 에센셜 라운드 가디건 10Color,Rosie Pink 3/24,여성_의류,,94000,,,,"]Olive (M) [추가구매]선택안함
체형 : 162cm, 58kg
사이즈 : 잘 맞아요
올리브색 니트를 찾다가 커치프에 혹해서 구매했는데 소재가 톡톡해서 맘에 들어요 아쉬운 점은 약간 어깨부분...
410**** 2026.01.11
옵션 : [COLOR/SIZE]Olive (M) [추가구매]선택안함
체형 : 160cm, 50kg
사이즈 : 잘 맞아요
인스타에 계속 광고가 떠서 구매해봤는데 완전 만족해요 💚 겨울이라서 색감이 포인트가 되서 좋아요 ㅎㅎ 다...
vne****** 2025.12.17
옵션 : [COLOR/SIZE]Ink Black (S) [추가구매]선택안함
체형 : 175cm, 50kg
사이즈 : 잘 맞아요
미쳤어요… 입자마자 소리질렀어요 핏이 정말 너무 예뻐요 흐물거리지않고 쉐입이 잡혀있는 단단한 느낌에 도...
plo**** 2025.12.09
옵션 : [COLOR/SIZE]Oatmeal (S) [추가구매]선택안함
체형 : 160cm, 50kg
사이즈 : 잘 맞아요
두껍다고 그래서 많이 두꺼울까햇는데 딱 적당한 두께고 코트에도 쌉가넝이요~!! 탄탄하고","이,계속,베이",,,,,,,,
여성_의류/11_3720058.pdf,[02.06 예약 발송]슈나 레이어드 세트_2COLORS,[02.06 예약 발송]슈나 레이어드 세트_2COLORS,여성_의류,,69000,,,,": 잘 맞아요
부드럽고 맨살에 입어도 따갑지 않아요 여리여리 해보이고 가디건이 긴편이라 넣어서 입던지 밑 단추를 몇개 ...
lov******* 2026.01.28
옵션 : [COLOR]BLACK
체형 : 163cm, 51kg
사이즈 : 잘 맞아요
여자여자한 스타일 처음인데 얇지만 입을수 있어요 뷔스티에를 밖으로 입어야 하는데 용기부족요 ㅋ 간만에 데...
moj*** 2026.01.25
옵션 : [COLOR]BEIGE
체형 : 160cm, 50kg
사이즈 : 잘 맞아요
색상과 디자인이 여성스러워요. 이너로 입으면 보온성이 괜찮아요. 맨살에 입어도 괜찮네요. 배송도 삐르게 받...
qnq*** 2026.01.31
옵션 : [COLOR]BEIGE
체형 : 160cm, 49kg
사이즈 : 잘 맞아요
여리여리해보여서 너무 만족스럽고 생각보다 레이어드해서 입으니까 따뜻해서 지금 입기도 괜찮은것같아영!! ...
선물하기 구매하기
khw**** 2026.02.01

옵션 : [COLOR]BEIGE
체형 : 162cm, 50kg
사이즈 : 잘 맞아요
생각보다 배송도 엄청 빨랐고 너",,,,,,,,,
여성_의류/12_3410565.pdf,Reversible 3/4 Sleeve Tee_Ivory,,여성_의류,,50000,,,Free,"- FREE
Bust 41 선물하기 구매하기

Hemline 36
Shoulder 37
Armholes 20
Sleeve Length 42
Length 50
*상세사이즈는 단면(cm) 기준이며,
측정 방법에 따라 오차가 있을 수 있습니다.
선물하기 구매하기

선물하기 구매하기

선물하기 구매하기

선물하기 구매하기

*모델 착용 컬러 : Black
선물하기 구매하기

선물하기 구매하기

선물하기 구매하기

선물하기 구매하기

선물하기 구매하기

선물하기 구매하기

선물하기 구매하기

선물하기 구매하기

선물하기 구매하기

선물하기 구매하기

선물하기 구매하기

선물하기 구매하기

선물하기 구매하기

선물하기 구매하기

상품설명 닫기
긴소매 티셔츠 BEST 더보기
비터셀즈 썸웨어버터 레터프롬문 론론
[2 PACK-컬러추가]Essential Golgi Te... [10th] Raglan Campus Logo Long T... [2/13 순차배송][29CM 단독] 리브 홀터... [SET] S
30%54,600 5%46,550 10%61,200 44%4
무료배송 쿠폰 조건부",IVORY,,,,,,,,
여성_의류/13_3424616.pdf,[2PACK] (uni) 에반 피치 플러프 긴팔 잠옷 세트,2PACK,여성_의류,,97900,,,,": 잘 맞아요
피치기모 잠옷을 한번 입어보고 촉감이 좋아서 구매했는데 역시 만족해요 색감도 너무 하얀색에 스트라이프가 ...
sh2*** 2026.02.01
옵션 : [옵션1]M [옵션2]XL [선물 패키지 추가]선물박스 키트+쇼핑백 추가
체형 : 171cm, 62kg
사이즈 : 잘 맞아요
선물하려고 주문했는데 포장까지 완벽해요 >_< 여기서만 사입는데 피치기모는 부들부들 하니 좋아서 다른잠...
gus******* 선물하기 구2매02하6.0기1.16

옵션 : [옵션1]M [옵션2]L [선물 패키지 추가]선택안함
체형 : 167cm, 50kg
사이즈 : 잘 맞아요
전에 데이니 피치기모 잠옷을 샀었는데 착용감이 너무 좋아 손이 잘 가길레 이번에도 피치기모로 구매했어요 ! ...
you****** 2026.01.28
옵션 : [옵션1]M [옵션2]L [선물 패키지 추가]선택안함
체형 : 159cm, 52kg
사이즈 : 잘 맞아요
가족에게 줄 크리스마스 선물로 구매했었는데 모두 너무 만족하는 바람에 또 구매했어요 일단 몸에 닿는 촉감...
uy8*** 2026.01.03",uni,,,,,,,,
여성_의류/13_870460.pdf,[서예지 착용] [ESSENTIAL] HIGH NECK SLIM TOP_16 COLOR,[서예지 착용] [ESSENTIAL] HIGH NECK SLIM TOP_16 COLOR,여성_의류,,50000,,,,": 잘 맞아요
장점 슬림한 핏의 하이넥 디자인으로 단정하고 세련된 분위기예요. 신축성 있는 소재라 착용감이 편하고, 이너...
sks********* 2025.12.12
옵션 : [COLOR]크림 M
체형 : 162cm, 54kg
사이즈 : 잘 맞아요
하이넥인데 목 절대 안 답답하고 자연스럽게 접혀서 얼굴도 슬쩍 작아 보임 :) 겨울 이너로 진짜 찰떡! 컬러 다양...
227******** 2025.12.09
옵션 : [COLOR]VINTAGE RED
체형 : 162cm, 56kg
사이즈 : 잘 맞아요
슬림핏인데 몸을 압박하지 않아 하루 종일 입어도 불편함이 없고, 특히 겨울 이너로 입었을 때 목 부분이 따뜻하...
rla******** 2025.12.08
옵션 : [COLOR]크림L, [COLOR]블랙 L
체형 : 170cm, 70kg 선물하기 구매하기
사이즈 : 잘 맞아요

비슷한 디자인의 반목티가 이미 있어서 구매 전에 고민했는데, 친구가 강추해서 구매했어요. 리뷰도 워낙 좋고...
qtg**** 2025.12.05
옵션 : [COLOR]블랙 L
체형 : 160c",,,,,,,,,
여성_의류/14_3035782.pdf,[2/13 순차배송][29CM 단독] 리브 홀터넥 레이어드 티셔츠 ( 네이비 ),[2/13 순차배송][29CM 단독] 리브 홀터넥 레이어드 티셔츠 ( 네이비 ),여성_의류,,12240,,,Free,"]FREE
체형 : 175cm, 61kg
사이즈 : 잘 맞아요
뷰들부들하니 조아요! 날씬해 보이고 따로 입을 수 있다는게 장점인듯! 요새 이런 홀터넥 스타일 찾고 있었는데 ...
sun***** 2025.11.08
옵션 : [SIZE]FREE
체형 : 165cm, 59kg
사이즈 : 잘 맞아요
이뻐요!! 요즘 레터프롬룸 옷 자주 사는데 너무 맘에 들어요!! 다 제취향! 핏도 괜찮고 핑크네이비 조화도 좋아요...
qkr********* 2025.11.09
옵션 : [SIZE]FREE
체형 : 165cm, 56kg
사이즈 : 잘 맞아요
부들부들하구 세트로 구성되어있어서 좋아뇨! 약간 빨고 입어야 될 것 같긴하지만 컬러나 부들부들함이 좋아서...
cla*** 2025.11.03
옵션 : [SIZE]FREE
체형 : 158cm, 48kg 선물하기 구매하기
사이즈 : 잘 맞아요

쿨톤이라 색상도 네이비+핑크 조합 너무 예뻐요 그리고 넥라인이 너무 안파져서 부담없이 입기 좋고 다른 이너...
mis******* 2025.12.10
옵션 : [SIZE]FREE
체형 : 163cm,",네이비,,,,,,,,
여성_의류/15_3603506.pdf,_Elizabeth Boucle Blazer IVORY_2Colors,VIVACIOUS,여성_의류,,128000,,,Free,"D FIT
41%75,040 70%114,260 70%114,260 10%196,200
쿠폰 쿠폰 쿠폰 무료배송
눈여겨봐야 할 브랜드
이니스프리 지비에이치 야오 야오
레티놀 PDRN 앰플 겔 마스크 [선물포장] 핸드 워시 & 핸드 로션 기... 헤어브러쉬 우드라운드보아 헤어브러쉬 리틀즈
32%2,720 15%39,950 5%25,550 5%18,900
리뷰(10)
선물하기 구매하기

더보기
+6
나와 비슷한 체형(10) 체형별
2me****** 2026.01.12
옵션 : [색상]IVORY X BLACK [사이즈]FREE
체형 : 163cm, 48kg
사이즈 : 잘 맞아요
털도 잘 안빠지고 색깔도 너무 이뻐요! 요즘 가격이 비싸도 싼티나는 거 많은데 안나서 좋음ㅠㅠ 어깨가 좀 넓긴...
rin***** 2026.01.18
옵션 : [색상]IVORY X BLACK [사이즈]FREE
체형 : 171cm, 58kg
사이즈 : 작아요
영하 날씨 아니고서는 입을 수 있을거 같아요 털은 부드러운 느낌은 아닌데 괜찮아요 검정도 살까 고민중이네요
dls****** 2026.01.27","과,차이가,있을,수,있습니다.",,,,,,,,
